index,ID,Label,snr,amplitude,peak_frequency,central_freq,duration,bandwidth,chisq,chisq_dof,GPStime,channel,Air_Compressor,Blip,Chirp,Extremely_Loud,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,None_of_the_Above,No_Glitch,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
15823,iCN9mBr85n,Scratchy,7.59968,4.98171e-23,97.74757,104.37263,0.25,47.63064,0.0,0.0,1134294711.45,H1:GDS-CALIB_STRAIN,4.36485458888e-10,5.03906130689e-06,9.65635877037e-07,1.12605292202e-07,4.35944530182e-05,2.14839221968e-08,5.95677676074e-08,1.05064323908e-09,3.19308128383e-07,1.0642066627e-05,0.000655183685012,1.26271215706e-08,4.47191632702e-06,0.000290064403089,1.68205218642e-08,0.998988747597,8.04188999837e-08,2.32340354955e-07,1.77972143689e-08,3.94200384335e-07
15825,rrYPdYoGs6,Scratchy,7.84006,4.84247e-23,212.58041,232.00321,0.50684,149.38048,0.0,0.0,1129060061.08,H1:GDS-CALIB_STRAIN,3.24147958475e-10,2.82430460175e-06,4.91848084039e-07,6.96928594834e-08,1.93034538825e-05,4.36593921904e-07,3.19079026667e-06,5.35683682301e-07,7.56731481033e-07,0.000175501423655,2.38680308939e-06,4.58424809224e-09,4.40439471561e-08,0.000809445045888,1.30783694985e-09,0.998980104923,1.82391328707e-08,5.08736341942e-09,8.64382201371e-08,4.81014012621e-06
15828,yIYndNh3UF,Scratchy,8.1829,5.36796e-23,232.18708,242.61188,0.30859,237.80814,0.0,0.0,1130094134.65,H1:GDS-CALIB_STRAIN,1.24945543689e-07,2.40005306296e-06,7.63051775721e-06,2.24462098686e-07,4.09047497669e-05,1.04223815356e-07,4.49986544027e-07,2.77345179711e-06,0.000117299350677,0.000394490838517,0.000408454798162,5.93070623722e-08,2.06616323339e-06,3.76337834496e-06,3.19409309668e-06,0.998953282833,8.13268883348e-08,5.89375268589e-08,1.98805494733e-07,6.24410386081e-05
15831,563WQyGJaQ,Scratchy,7.6654,4.32176e-23,224.30366,220.76003,0.25,171.86685,0.0,0.0,1129050558.9,H1:GDS-CALIB_STRAIN,3.44451933643e-08,1.7512476802e-07,6.89738840265e-07,4.90835567746e-08,2.00679714908e-05,3.62730112613e-08,1.68663607525e-08,2.49951483511e-07,6.32220508123e-06,0.000717493763659,0.000296411628369,1.13045484085e-08,3.08094854518e-07,5.4200370414e-07,1.30781813823e-07,0.998940765858,2.1303151243e-08,9.20440446084e-10,1.93590761199e-08,1.66425343195e-05
15832,hsMFtK5Qh2,Scratchy,9.05086,6.49075e-23,96.56232,2674.27172,1.26562,5218.52981,0.0,0.0,1130022911.91,H1:GDS-CALIB_STRAIN,7.87316309925e-08,7.62395620768e-06,9.44216753851e-06,1.47443074638e-06,2.72830857284e-06,1.24554730974e-07,1.63284852306e-07,8.91705287387e-09,9.24692085391e-06,9.32216935325e-05,0.000155565867317,1.49668082372e-07,0.000376796815544,0.000381951133022,2.17059977103e-07,0.998931348324,2.71796324114e-07,1.65346118592e-05,3.9466731323e-06,9.07549110707e-06
15833,Utjoa72hHR,Scratchy,8.23063,1.22318e-22,297.44016,289.9985,0.16992,173.30086,0.0,0.0,1129048552.33,H1:GDS-CALIB_STRAIN,8.11379337051e-08,5.65748496228e-06,1.70039174918e-06,5.41292934031e-07,1.46710690387e-05,6.72926944389e-07,1.61851312441e-06,1.45361582327e-05,7.46666628402e-05,0.000429269886808,0.000340195634635,1.1140507894e-07,2.41480538534e-05,3.602049037e-05,3.79996009769e-07,0.998925626278,1.42866042552e-07,1.12870983671e-08,2.89398121822e-06,0.000127044011606
15836,Ux77SWwWBs,Scratchy,7.79158,4.7651e-23,212.58041,271.11445,0.22656,211.06895,0.0,0.0,1129041021.49,H1:GDS-CALIB_STRAIN,2.80953948995e-09,2.56339589555e-08,4.96620735646e-08,1.8515464717e-08,3.28716487275e-06,3.72105724011e-08,2.75715361653e-09,2.57881893617e-08,8.56035853758e-07,0.00104454637039,2.87885541184e-05,1.50766354956e-09,1.8118259959e-07,6.41825181447e-07,3.7989145163e-09,0.998916625977,2.94863200523e-09,6.7817265692e-11,5.09762969614e-08,4.86480985273e-06
15837,oPfJWviLTL,Scratchy,7.87796,9.0122e-23,121.66327,143.27359,0.3125,120.14895,0.0,0.0,1128256152.48,H1:GDS-CALIB_STRAIN,7.48356376867e-10,3.32527383762e-06,5.13589611728e-07,9.32509408358e-07,1.78208267698e-07,3.32658345314e-08,6.3208432266e-08,6.78785852415e-07,1.64910998137e-05,0.00102029880509,2.44337043114e-05,4.41211867042e-09,5.64086440136e-06,2.70497985184e-05,7.13010877007e-08,0.998897969723,6.99485411815e-08,6.09107587479e-07,6.8066771064e-07,9.26350878672e-07
15838,TwrTxrHJVO,Scratchy,7.68874,4.57814e-23,236.87324,243.71253,0.07031,125.96185,0.0,0.0,1129060062.55,H1:GDS-CALIB_STRAIN,6.11793593563e-09,9.54563802225e-07,7.34783441203e-07,8.65120881599e-08,1.28736098759e-06,3.38179937387e-08,5.23343260284e-07,2.72664456133e-05,0.000190702703549,0.000748766178731,9.05870983843e-05,6.206840375e-09,9.18407963013e-08,1.48890535456e-06,1.44597777307e-07,0.998882591724,2.966652346e-08,3.86232601457e-09,1.40848925412e-07,5.45729781152e-05
15839,nRuXfDta9u,Scratchy,8.53348,5.65736e-23,206.40207,242.61188,0.84375,237.80814,0.0,0.0,1134163004.2,H1:GDS-CALIB_STRAIN,1.25874284954e-11,8.6739108951e-11,5.45066143331e-08,1.05669322181e-08,4.74417402074e-06,3.04529876871e-08,8.87879880729e-10,3.13763376392e-10,1.04960995451e-09,0.00111177493818,3.51825839573e-08,6.24005777605e-11,9.40760247481e-10,2.92102868116e-06,1.2508621916e-10,0.998880445957,5.7659495234e-11,1.65055718659e-12,3.13124859375e-10,2.6053370572e-09
